order_id,merchant_id,customer_ucid,category,price_band,payment_mode,origin_node,destination_pincode,destination_cluster,address_quality,rto_score,delivery_outcome,shipping_mode,created_at
ORD000016,M080,9174890304,fashion,0-500,COD,WH0185,458760,south,0.6104,0.3018,delivered,surface,2025-11-11 10:46:37
ORD000017,M050,9253595301,electronics,0-500,COD,WH0116,516673,south,0.7061,0.3776,pending,surface,2026-03-04 12:07:42
ORD000018,M104,9486088718,fashion,0-500,COD,WH0241,160397,northeast,0.5910,0.4199,delivered,surface,2025-10-27 23:48:59
ORD000019,M086,9016507468,beauty,0-500,prepaid,WH0198,425440,west,0.2789,0.3815,delivered,surface,2025-10-31 19:17:48
ORD000020,M020,9218333919,beauty,0-500,COD,WH0046,613941,north,0.6539,0.3647,rto,surface,2025-12-27 20:31:13
ORD000021,M116,9437043424,fashion,500-1000,COD,WH0269,723730,north,0.5159,0.1965,delivered,surface,2026-03-13 21:57:37
ORD000022,M088,9608729721,fashion,1000-2000,prepaid,WH0204,328814,north,0.5370,0.0846,rto,surface,2025-11-06 17:48:09
ORD000023,M060,9100219467,home,2000+,prepaid,WH0138,184980,north,0.6764,0.2092,delivered,surface,2025-10-13 08:50:06
ORD000024,M029,9446580868,fashion,0-500,COD,WH0067,767459,west,0.8160,0.3697,rto,surface,2026-02-06 19:44:03
ORD000025,M071,9558136661,electronics,1000-2000,COD,WH0164,148786,north,0.6150,0.2824,delivered,surface,2025-12-21 11:31:54
ORD000026,M055,9891128147,home,2000+,COD,WH0127,647262,south,0.0608,0.3443,pending,surface,2025-10-17 21:06:01
ORD000027,M087,9797135951,home,1000-2000,COD,WH0201,370483,central,0.5118,0.2275,delivered,surface,2026-03-06 17:02:46
ORD000028,M093,9406188027,electronics,2000+,prepaid,WH0216,826379,east,0.8353,0.2832,delivered,surface,2026-01-18 06:13:10
ORD000029,M019,9868044036,electronics,500-1000,prepaid,WH0044,387936,central,0.8964,0.4369,pending,surface,2026-01-06 23:46:54
ORD000030,M054,9111699821,grocery,500-1000,prepaid,WH0124,777230,north,0.7927,0.0926,delivered,surface,2025-12-01 10:03:09
ORD000031,M026,9787963387,fashion,1000-2000,COD,WH0062,250444,central,0.6428,0.4796,delivered,surface,2026-01-09 11:14:16
ORD000032,M029,9042423399,grocery,0-500,COD,WH0067,338113,south,0.8083,0.4420,delivered,surface,2025-10-12 01:19:08
ORD000033,M001,9419511303,electronics,0-500,COD,WH0003,169008,north,0.6785,0.1356,delivered,surface,2025-10-28 15:10:42
ORD000034,M017,9312441365,electronics,500-1000,COD,WH0040,193677,east,0.6667,0.3626,delivered,surface,2026-03-08 09:36:34
ORD000035,M081,9280471703,home,0-500,COD,WH0187,510451,north,0.7734,0.1875,rto,surface,2026-01-02 05:57:56
ORD000036,M021,9078585078,fashion,500-1000,prepaid,WH0047,661592,west,0.0641,0.4362,pending,surface,2026-02-23 00:36:00
ORD000037,M060,9131437632,grocery,2000+,prepaid,WH0139,350264,north,0.7105,0.1011,delivered,express,2026-03-14 15:27:51
ORD000038,M054,9685508441,grocery,500-1000,COD,WH0124,396493,south,0.6552,0.4351,delivered,surface,2025-10-23 14:44:46
ORD000039,M026,9870568335,grocery,500-1000,prepaid,WH0062,825184,north,0.7521,0.1545,delivered,surface,2025-12-13 12:42:33
ORD000040,M118,9780863158,home,500-1000,COD,WH0273,605907,north,0.8548,0.1867,delivered,surface,2026-03-07 17:38:25
ORD000041,M048,9839767388,fashion,500-1000,COD,WH0112,639699,west,0.7567,0.2854,delivered,surface,2026-01-26 23:31:58
ORD000042,M019,9759799742,electronics,500-1000,COD,WH0043,571190,central,0.5516,0.3397,delivered,surface,2026-01-20 08:56:17
ORD000043,M101,9797726722,electronics,2000+,prepaid,WH0235,493902,northeast,1.0000,0.2184,delivered,surface,2025-10-26 21:24:47
ORD000044,M096,9453388339,grocery,500-1000,prepaid,WH0222,214920,north,0.8176,0.5623,delivered,surface,2025-11-27 02:58:49
ORD000045,M058,9710417628,grocery,0-500,COD,WH0134,779084,west,0.8060,0.3992,delivered,surface,2026-01-13 12:33:19
ORD000046,M105,9986484092,fashion,500-1000,COD,WH0244,440238,south,0.6257,0.2119,pending,surface,2025-10-24 02:41:40
ORD000047,M103,9606708762,electronics,0-500,prepaid,WH0240,577902,central,0.1523,0.7462,rto,surface,2025-10-26 22:36:38
ORD000048,M020,9249947174,fashion,1000-2000,prepaid,WH0046,510407,east,0.7258,0.2001,delivered,surface,2026-03-17 10:38:21
ORD000049,M035,9205475425,home,0-500,COD,WH0083,307286,north,0.6254,0.1957,delivered,surface,2026-02-14 17:53:25
ORD000050,M101,9593372005,electronics,0-500,prepaid,WH0235,279849,west,0.6380,0.4186,rto,surface,2026-02-01 12:44:03
ORD000051,M098,9256576178,fashion,0-500,prepaid,WH0228,232013,south,0.5636,0.0721,delivered,surface,2025-12-02 14:09:35
ORD000052,M113,9545826271,electronics,0-500,COD,WH0262,504083,west,0.0796,0.4869,delivered,surface,2026-01-19 21:47:27
ORD000053,M095,9225292811,grocery,2000+,COD,WH0219,360189,south,0.7400,0.1516,delivered,surface,2025-10-01 15:36:15
ORD000054,M073,9848080187,fashion,1000-2000,COD,WH0169,732632,west,0.7076,0.1880,rto,surface,2026-02-10 21:42:17
ORD000055,M034,9511948933,home,500-1000,prepaid,WH0080,192297,south,0.4790,0.4271,delivered,surface,2026-03-02 13:44:55
ORD000056,M079,9434797564,fashion,500-1000,COD,WH0183,844471,north,0.8326,0.2244,delivered,surface,2025-10-14 08:36:17
ORD000057,M032,9190073885,fashion,0-500,prepaid,WH0074,693482,northeast,0.9479,0.2418,rto,surface,2026-01-18 20:20:33
ORD000058,M038,9067361681,fashion,2000+,prepaid,WH0090,735348,central,0.9073,0.1649,delivered,surface,2026-03-30 13:22:41
ORD000059,M056,9588879470,grocery,500-1000,prepaid,WH0130,762740,east,0.6431,0.3487,delivered,surface,2025-10-03 13:53:08
ORD000060,M109,9355261703,fashion,0-500,prepaid,WH0253,548641,south,0.6924,0.0995,delivered,surface,2026-01-01 20:21:03
ORD000061,M062,9951330531,grocery,1000-2000,COD,WH0144,795480,north,0.6273,0.4064,pending,surface,2025-12-16 19:57:02
ORD000062,M048,9643680259,beauty,1000-2000,prepaid,WH0112,339583,south,0.7874,0.5176,rto,surface,2025-10-01 20:21:33
ORD000063,M082,9402681177,fashion,2000+,COD,WH0190,790738,north,0.7620,0.3993,delivered,surface,2025-11-16 20:16:28
ORD000064,M108,9686345496,fashion,500-1000,COD,WH0252,719147,south,0.5846,0.2841,delivered,surface,2026-01-13 12:22:07
ORD000065,M087,9104582609,electronics,2000+,COD,WH0200,638683,north,0.5697,0.2885,delivered,surface,2025-11-24 17:41:41
ORD000066,M105,9807610329,electronics,0-500,COD,WH0244,809259,east,0.7915,0.3174,delivered,surface,2025-11-24 06:57:06
ORD000067,M045,9072487641,electronics,2000+,COD,WH0106,540163,south,0.6743,0.2239,rto,surface,2026-02-18 11:03:30
ORD000068,M063,9644259354,electronics,2000+,prepaid,WH0147,495882,north,0.5946,0.1223,delivered,surface,2025-12-13 11:14:11
ORD000069,M038,9175186892,beauty,0-500,COD,WH0089,248956,north,0.6701,0.5065,rto,surface,2026-01-12 20:41:05
ORD000070,M052,9022983587,fashion,0-500,COD,WH0121,729679,north,0.8716,0.6941,delivered,surface,2025-11-23 14:09:22
ORD000071,M037,9349868225,fashion,2000+,prepaid,WH0088,401860,south,0.7784,0.3896,delivered,surface,2025-10-30 14:03:30
ORD000072,M114,9995420259,home,2000+,COD,WH0266,646707,north,0.6910,0.4395,delivered,surface,2026-01-22 13:38:59
ORD000073,M043,9360363595,grocery,2000+,COD,WH0102,423355,west,0.7451,0.2252,delivered,surface,2026-01-28 15:28:36
ORD000074,M034,9015043790,electronics,500-1000,COD,WH0079,563008,west,0.7059,0.1143,delivered,surface,2025-10-24 17:16:13
ORD000075,M105,9975048210,home,2000+,prepaid,WH0243,779450,central,0.0924,0.5350,delivered,surface,2026-02-13 13:40:09
ORD000076,M075,9589913603,electronics,500-1000,prepaid,WH0174,765558,south,0.6144,0.3859,delivered,surface,2025-11-20 16:41:58
ORD000077,M120,9774273598,fashion,0-500,COD,WH0279,396578,north,0.8264,0.4515,delivered,surface,2026-02-07 03:17:09
ORD000078,M031,9207546602,fashion,1000-2000,prepaid,WH0073,745414,south,0.9043,0.7265,rto,surface,2025-12-07 14:55:27
ORD000079,M090,9217091177,fashion,1000-2000,COD,WH0208,186416,northeast,0.6382,0.3423,delivered,surface,2026-03-29 08:20:56
ORD000080,M021,9512472019,home,1000-2000,prepaid,WH0048,433876,south,0.3912,0.5312,rto,surface,2026-03-17 10:49:31
ORD000081,M104,9904887581,electronics,500-1000,COD,WH0241,225493,north,0.9344,0.2840,delivered,surface,2025-10-10 15:34:47
ORD000082,M097,9274794391,fashion,2000+,prepaid,WH0226,183518,east,0.5066,0.2192,delivered,surface,2025-10-17 16:10:34
ORD000083,M093,9937495960,fashion,1000-2000,COD,WH0215,444233,north,0.0694,0.6039,pending,surface,2025-12-16 17:49:02
ORD000084,M056,9532081593,fashion,0-500,prepaid,WH0130,309323,south,0.6887,0.3903,delivered,surface,2025-12-26 23:07:16
ORD000085,M050,9128891694,grocery,0-500,COD,WH0117,360479,west,0.6801,0.3664,delivered,surface,2026-01-16 16:56:50
ORD000086,M105,9145103012,electronics,1000-2000,COD,WH0244,684923,west,0.7254,0.4310,pending,surface,2025-11-27 12:08:36
ORD000087,M110,9349481598,fashion,2000+,COD,WH0256,358414,central,0.6601,0.4305,pending,surface,2026-03-12 10:53:09
ORD000088,M086,9088002220,electronics,2000+,prepaid,WH0199,521531,south,0.6085,0.4985,rto,surface,2026-03-23 17:41:47
ORD000089,M083,9157899370,fashion,2000+,COD,WH0191,558585,east,0.7473,0.1890,pending,surface,2025-12-19 12:38:03
ORD000090,M048,9950098726,fashion,2000+,prepaid,WH0112,736522,north,0.6535,0.1263,delivered,surface,2026-02-20 15:36:36
ORD000091,M106,9296746977,beauty,0-500,COD,WH0247,354078,northeast,0.5498,0.1563,rto,surface,2026-03-25 09:19:58
ORD000092,M034,9926757313,home,0-500,COD,WH0078,828564,south,0.9116,0.5143,rto,surface,2026-03-19 15:24:13
ORD000093,M036,9063357599,fashion,500-1000,COD,WH0086,750437,north,0.5449,0.3558,delivered,surface,2025-12-17 14:07:33
ORD000094,M035,9890529184,fashion,0-500,COD,WH0083,377678,east,0.7590,0.2728,pending,surface,2025-10-11 10:45:45
ORD000095,M031,9792860477,electronics,0-500,COD,WH0073,713204,west,0.9494,0.1106,delivered,surface,2025-10-17 15:58:01
ORD000096,M086,9851433126,beauty,0-500,COD,WH0199,568238,west,0.7083,0.2924,delivered,surface,2025-11-04 06:25:20
ORD000097,M102,9231310359,fashion,2000+,prepaid,WH0237,576446,south,0.8261,0.3119,delivered,surface,2026-02-07 18:43:57
ORD000098,M032,9635723627,home,2000+,COD,WH0075,851800,south,0.5068,0.3311,delivered,surface,2026-01-23 16:13:54
ORD000099,M065,9675004561,electronics,2000+,prepaid,WH0152,686986,south,0.0384,0.5662,pending,surface,2025-11-14 17:50:23
ORD000100,M026,9341987482,fashion,1000-2000,COD,WH0062,659190,north,0.4715,0.5065,delivered,surface,2026-03-30 13:24:15
ORD000101,M102,9747351067,fashion,2000+,COD,WH0237,811728,north,0.7924,0.4100,delivered,surface,2025-12-19 11:45:28
ORD000102,M072,9936024201,fashion,500-1000,COD,WH0167,605830,south,0.8081,0.3183,delivered,surface,2025-11-30 07:30:41
ORD000103,M079,9830918218,grocery,500-1000,prepaid,WH0183,261534,south,0.8099,0.1812,delivered,surface,2025-10-13 14:14:53
ORD000104,M099,9688680589,fashion,500-1000,COD,WH0230,425888,west,0.7233,0.3970,delivered,surface,2026-03-21 08:07:34
ORD000105,M061,9606792449,home,0-500,COD,WH0142,620639,north,0.7079,0.4507,delivered,surface,2025-12-25 17:00:34
ORD000106,M024,9243857290,fashion,0-500,prepaid,WH0056,406758,north,0.7872,0.2971,pending,surface,2025-11-27 15:56:39
ORD000107,M005,9146741880,electronics,500-1000,COD,WH0013,382808,east,0.7281,0.1991,delivered,surface,2026-02-17 17:32:51
ORD000108,M036,9260614245,home,500-1000,COD,WH0084,618589,east,0.9109,0.5945,delivered,express,2025-12-08 13:40:49
ORD000109,M118,9786843378,home,0-500,COD,WH0273,200509,north,0.8150,0.1427,delivered,surface,2025-11-08 06:48:36
ORD000110,M029,9961023726,home,2000+,prepaid,WH0069,673479,north,1.0000,0.2059,pending,surface,2026-01-14 04:56:15
ORD000111,M004,9539874054,fashion,0-500,COD,WH0011,708079,northeast,0.6806,0.2804,pending,surface,2025-12-03 07:00:37
ORD000112,M116,9267390869,beauty,2000+,COD,WH0269,579694,south,0.8015,0.3323,delivered,express,2025-12-30 19:59:56
ORD000113,M106,9633161692,beauty,1000-2000,COD,WH0247,550995,northeast,0.6531,0.5973,delivered,surface,2026-01-28 06:11:51
ORD000114,M029,9968134958,fashion,500-1000,COD,WH0067,470820,west,0.9302,0.4273,delivered,surface,2026-02-03 18:27:44
ORD000115,M073,9558363234,electronics,0-500,COD,WH0170,243857,west,0.6901,0.5430,delivered,surface,2026-02-27 06:23:52
ORD000116,M109,9677830782,electronics,0-500,COD,WH0254,778955,west,0.7767,0.5040,rto,surface,2025-12-09 08:51:30
ORD000117,M017,9508476016,fashion,1000-2000,COD,WH0039,268232,east,0.5455,0.1248,delivered,surface,2025-11-21 11:36:30
ORD000118,M114,9598248132,electronics,2000+,prepaid,WH0264,200335,north,0.4430,0.2168,delivered,surface,2025-11-23 10:07:14
ORD000119,M004,9955241100,grocery,1000-2000,prepaid,WH0010,442737,south,0.7664,0.3473,delivered,surface,2025-11-26 12:24:40
ORD000120,M106,9587710449,fashion,2000+,COD,WH0247,375651,west,0.2756,0.4478,rto,surface,2025-12-26 18:03:06
ORD000121,M100,9047013037,grocery,0-500,prepaid,WH0233,321082,east,0.6597,0.1324,delivered,surface,2025-11-22 18:15:39
ORD000122,M064,9482807364,fashion,0-500,prepaid,WH0149,594557,north,0.6064,0.1531,delivered,surface,2026-01-11 17:48:15
ORD000123,M018,9393942728,electronics,500-1000,COD,WH0041,307286,west,0.9276,0.4419,delivered,surface,2026-03-20 08:10:59
ORD000124,M082,9689509291,beauty,0-500,prepaid,WH0188,613400,west,0.9310,0.3508,delivered,surface,2025-12-18 20:35:20
ORD000125,M049,9661624698,electronics,1000-2000,COD,WH0115,578166,south,0.6045,0.3840,delivered,surface,2026-03-07 08:09:22
ORD000126,M021,9657565706,beauty,1000-2000,prepaid,WH0048,559672,south,0.6841,0.1899,pending,surface,2025-11-07 06:39:41
ORD000127,M029,9566291509,beauty,500-1000,prepaid,WH0068,615513,northeast,0.8536,0.2961,rto,express,2026-01-21 23:41:31
ORD000128,M012,9929078340,fashion,500-1000,prepaid,WH0027,798909,west,0.4755,0.1489,delivered,surface,2026-01-25 23:27:05
ORD000129,M097,9843488303,home,500-1000,COD,WH0226,392533,central,0.5849,0.2775,delivered,surface,2026-01-18 18:15:59
ORD000130,M109,9048045866,beauty,500-1000,COD,WH0253,259708,south,0.6271,0.5284,pending,surface,2026-02-12 13:06:23
ORD000131,M119,9595425043,home,1000-2000,COD,WH0276,469199,north,0.8478,0.1246,delivered,surface,2025-11-06 19:05:26
ORD000132,M032,9967100321,grocery,500-1000,COD,WH0075,239128,central,0.4540,0.6171,rto,surface,2026-02-22 09:49:31
ORD000133,M084,9535346607,electronics,500-1000,prepaid,WH0194,557647,northeast,0.6607,0.0850,delivered,surface,2026-01-28 10:40:53
ORD000134,M076,9245257378,electronics,0-500,prepaid,WH0176,551728,north,0.6787,0.3323,delivered,surface,2025-11-04 18:37:27
ORD000135,M015,9661982859,electronics,1000-2000,prepaid,WH0034,646707,northeast,0.6248,0.2060,delivered,surface,2025-10-30 06:09:06
ORD000136,M037,9256037514,home,500-1000,COD,WH0087,739665,north,0.8905,0.3914,rto,surface,2025-10-08 15:57:00
ORD000137,M006,9778169177,beauty,500-1000,COD,WH0015,254205,west,0.7884,0.6089,pending,surface,2025-12-10 00:58:17
ORD000138,M014,9468573757,electronics,0-500,COD,WH0032,846424,south,0.8778,0.1098,delivered,surface,2025-11-29 12:10:39
ORD000139,M012,9271874960,electronics,2000+,COD,WH0027,579126,north,0.6424,0.2989,delivered,surface,2026-02-28 17:14:36
ORD000140,M083,9581724619,home,0-500,COD,WH0191,365401,north,0.9909,0.3377,delivered,surface,2025-11-23 14:50:38
ORD000141,M095,9660531397,beauty,2000+,prepaid,WH0219,437877,south,0.7418,0.0425,delivered,express,2026-03-11 08:49:54
ORD000142,M033,9673729268,home,2000+,prepaid,WH0077,561809,south,0.7088,0.1814,delivered,surface,2026-01-17 06:16:50
ORD000143,M027,9653708366,electronics,500-1000,prepaid,WH0064,516673,northeast,0.7221,0.1851,rto,surface,2026-03-08 06:05:21
ORD000144,M018,9101915402,home,0-500,prepaid,WH0041,529555,west,0.6287,0.0867,delivered,surface,2026-02-09 17:30:25
ORD000145,M107,9632762432,electronics,2000+,COD,WH0250,470181,northeast,0.6977,0.1522,delivered,surface,2026-03-09 07:50:43
ORD000146,M100,9370736712,home,2000+,COD,WH0234,805747,central,0.9211,0.2789,delivered,surface,2026-03-12 22:42:05
ORD000147,M053,9207170471,home,0-500,prepaid,WH0123,672761,east,1.0000,0.5865,delivered,surface,2025-12-26 08:03:39
ORD000148,M080,9176734352,fashion,1000-2000,COD,WH0184,627796,north,0.5906,0.2871,delivered,surface,2026-01-11 08:10:30
ORD000149,M075,9666028653,fashion,500-1000,COD,WH0174,531447,south,0.7046,0.4387,delivered,surface,2026-02-01 21:51:55
ORD000150,M028,9953973409,electronics,2000+,COD,WH0066,242050,north,0.6844,0.2757,pending,express,2026-01-11 16:56:37
ORD000151,M014,9810791084,electronics,2000+,COD,WH0031,401437,south,0.8077,0.7841,rto,surface,2025-11-20 03:22:49
ORD000152,M110,9172862951,home,500-1000,COD,WH0257,131189,central,0.9259,0.3422,delivered,surface,2026-02-10 23:59:54
ORD000153,M016,9663154309,fashion,0-500,COD,WH0037,279849,central,0.5508,0.5500,pending,surface,2026-01-05 14:23:31
ORD000154,M097,9289966511,beauty,2000+,prepaid,WH0225,760260,north,0.5210,0.2971,pending,surface,2025-11-23 23:07:36
ORD000155,M022,9560321728,home,0-500,prepaid,WH0049,763076,central,0.7103,0.3997,delivered,surface,2025-10-02 18:15:30
ORD000156,M012,9457405702,electronics,500-1000,prepaid,WH0027,820153,south,0.9584,0.1570,delivered,surface,2026-03-27 09:29:13
ORD000157,M017,9571069292,home,500-1000,prepaid,WH0038,787889,west,0.8136,0.4913,delivered,surface,2025-10-30 13:32:42
ORD000158,M098,9215627831,fashion,0-500,prepaid,WH0227,195837,east,0.7336,0.2467,delivered,surface,2025-12-03 22:09:32
ORD000159,M076,9997146898,beauty,1000-2000,prepaid,WH0177,668043,west,0.5098,0.0967,delivered,surface,2025-11-23 22:33:15
ORD000160,M023,9585976073,fashion,0-500,prepaid,WH0053,806007,west,0.5226,0.5980,rto,surface,2026-01-15 19:06:52
ORD000161,M074,9602107122,grocery,0-500,prepaid,WH0172,526780,east,1.0000,0.2933,rto,surface,2026-03-22 23:01:08
ORD000162,M026,9394388739,fashion,2000+,prepaid,WH0060,200335,central,0.8537,0.2322,delivered,surface,2025-12-08 07:12:45
ORD000163,M044,9314858119,home,500-1000,prepaid,WH0103,679076,central,0.6131,0.4935,delivered,surface,2025-11-09 10:02:41
ORD000164,M086,9285398890,electronics,1000-2000,prepaid,WH0198,723712,north,0.6439,0.2099,delivered,surface,2025-12-18 21:59:42
ORD000165,M016,9726870015,fashion,1000-2000,COD,WH0036,842433,west,0.8514,0.5927,rto,surface,2026-03-22 09:15:42
ORD000166,M002,9834761660,electronics,500-1000,prepaid,WH0005,680086,central,0.8724,0.1856,rto,surface,2026-03-28 10:13:16
ORD000167,M102,9697752574,grocery,2000+,COD,WH0238,497978,east,0.3821,0.8609,rto,express,2026-03-22 13:01:03
ORD000168,M017,9196151335,beauty,1000-2000,prepaid,WH0040,205601,south,0.7868,0.2480,pending,express,2026-01-02 21:39:18
ORD000169,M001,9126222464,electronics,0-500,prepaid,WH0003,599819,central,0.6834,0.2331,delivered,surface,2025-11-27 23:27:28
ORD000170,M002,9421812953,home,2000+,COD,WH0004,182900,northeast,0.2737,0.2405,pending,express,2026-03-11 15:12:41
ORD000171,M070,9682301134,electronics,500-1000,COD,WH0163,364286,central,0.8493,0.2549,delivered,surface,2026-01-09 04:08:20
ORD000172,M052,9269447353,electronics,1000-2000,prepaid,WH0121,510995,west,0.9034,0.2583,delivered,surface,2026-02-23 20:23:59
ORD000173,M025,9283694976,fashion,1000-2000,prepaid,WH0058,358414,north,0.0419,0.3900,rto,surface,2026-02-18 18:55:42
ORD000174,M015,9543685289,fashion,500-1000,prepaid,WH0034,548022,central,0.7995,0.6147,rto,surface,2025-12-12 16:56:23
ORD000175,M038,9695698198,beauty,1000-2000,prepaid,WH0089,735811,west,0.5949,0.1918,delivered,surface,2026-03-30 11:24:57
ORD000176,M046,9919220513,fashion,1000-2000,COD,WH0108,703596,north,0.0398,0.6380,delivered,surface,2025-12-31 15:08:08
ORD000177,M084,9313113621,grocery,1000-2000,COD,WH0194,396332,south,0.6966,0.2809,delivered,surface,2025-10-01 07:37:04
ORD000178,M086,9713202061,home,1000-2000,COD,WH0198,761773,north,0.9197,0.2794,delivered,surface,2026-02-05 13:43:35
ORD000179,M056,9741268318,beauty,2000+,COD,WH0128,140285,south,0.7418,0.3762,delivered,surface,2025-12-24 13:09:57
ORD000180,M074,9120183667,fashion,0-500,COD,WH0172,616169,south,0.9058,0.3402,rto,surface,2025-12-27 20:48:30
ORD000181,M024,9854512977,electronics,2000+,prepaid,WH0055,139629,south,0.8188,0.0653,delivered,surface,2025-10-13 12:51:44
ORD000182,M087,9392268949,home,0-500,prepaid,WH0200,806007,north,0.7627,0.0746,delivered,surface,2025-11-07 17:06:14
ORD000183,M054,9080372845,beauty,2000+,prepaid,WH0124,315625,west,0.8332,0.4119,pending,surface,2026-03-26 18:05:26
ORD000184,M015,9562493144,beauty,0-500,prepaid,WH0033,713204,south,0.8631,0.5298,delivered,surface,2025-10-29 11:25:25
ORD000185,M063,9539049022,grocery,0-500,COD,WH0148,599224,east,0.9130,0.6193,rto,surface,2025-12-29 06:22:34
ORD000186,M004,9775752515,home,0-500,prepaid,WH0009,598845,north,0.6875,0.2375,delivered,express,2026-03-09 14:34:17
ORD000187,M087,9912059918,home,500-1000,COD,WH0200,708874,south,0.4885,0.3820,delivered,surface,2025-12-01 18:11:14
ORD000188,M007,9965338808,grocery,1000-2000,prepaid,WH0017,226534,northeast,0.7258,0.3664,delivered,surface,2025-11-04 17:27:26
ORD000189,M053,9389449413,beauty,500-1000,COD,WH0122,439928,north,0.6028,0.3550,delivered,surface,2026-02-08 06:59:55
ORD000190,M030,9053152049,grocery,2000+,COD,WH0071,539820,northeast,0.7982,0.4158,rto,surface,2026-01-18 13:47:24
ORD000191,M098,9561366262,electronics,500-1000,prepaid,WH0228,169664,north,0.6682,0.1156,delivered,surface,2026-02-16 22:46:03
ORD000192,M088,9743038889,fashion,1000-2000,prepaid,WH0204,178658,north,0.4516,0.5457,delivered,surface,2025-10-12 14:32:12
ORD000193,M062,9919220513,home,0-500,COD,WH0144,396847,north,0.6045,0.6074,rto,surface,2025-10-21 11:36:57
ORD000194,M094,9924574949,electronics,0-500,COD,WH0218,791285,west,0.6363,0.2947,delivered,surface,2025-11-01 22:43:50
ORD000195,M030,9767957571,grocery,500-1000,COD,WH0071,312484,northeast,0.6125,0.7481,pending,surface,2026-02-09 13:55:35
ORD000196,M077,9256366942,fashion,0-500,COD,WH0178,262195,south,0.4842,0.2802,rto,surface,2026-02-05 01:37:56
ORD000197,M114,9028099972,fashion,500-1000,prepaid,WH0266,763075,east,0.9759,0.3756,delivered,surface,2025-10-20 07:09:04
ORD000198,M119,9320197030,fashion,1000-2000,COD,WH0276,440238,central,0.4552,0.2952,delivered,surface,2026-03-11 08:36:45
ORD000199,M051,9681324697,home,0-500,COD,WH0118,162432,northeast,0.8772,0.2422,delivered,surface,2025-10-04 15:05:04
ORD000200,M096,9217894069,home,1000-2000,prepaid,WH0223,591235,west,0.5870,0.3103,delivered,surface,2025-11-04 00:10:29
ORD000201,M032,9200761504,home,0-500,COD,WH0074,664177,east,0.5853,0.1793,pending,surface,2025-11-07 16:00:56
ORD000202,M092,9414752070,beauty,0-500,COD,WH0214,242360,central,0.7619,0.3045,delivered,surface,2026-03-12 13:36:00
ORD000203,M074,9327188758,fashion,0-500,prepaid,WH0171,763397,east,0.8558,0.3290,delivered,surface,2026-01-03 14:00:51
ORD000204,M100,9628857413,home,2000+,prepaid,WH0234,175666,east,0.6255,0.0522,delivered,surface,2026-01-10 16:23:02
ORD000205,M070,9836831781,home,0-500,COD,WH0162,826852,south,0.5152,0.4202,delivered,surface,2026-01-02 07:26:54
ORD000206,M008,9655650333,electronics,0-500,COD,WH0020,619881,north,0.4651,0.2536,delivered,surface,2025-12-12 15:49:15
ORD000207,M045,9072011379,home,1000-2000,prepaid,WH0105,408396,west,0.1260,0.4121,rto,surface,2025-10-08 21:50:43
ORD000208,M076,9584640844,electronics,0-500,COD,WH0176,330343,west,0.8464,0.5054,delivered,surface,2026-03-19 21:00:54
ORD000209,M030,9895688044,home,2000+,prepaid,WH0070,577037,north,0.2724,0.2710,delivered,surface,2026-01-27 06:56:41
ORD000210,M045,9348089083,fashion,500-1000,COD,WH0105,184980,northeast,0.6652,0.2102,delivered,surface,2025-11-23 15:31:10
