intervention_id,order_id,merchant_id,intervention_type,action_owner,initiated_by,confidence_score,outcome,executed_at,completed_at
INT00019,ORD003060,M006,cod_to_prepaid,merchant,system,0.7459,successful_delivery,2026-02-08 00:09:10,2026-02-10 20:09:10
INT00020,ORD002580,M034,cod_to_prepaid,merchant,system,0.6602,successful_delivery,2026-02-01 17:11:33,2026-02-02 14:11:33
INT00021,ORD000113,M106,merchant_confirmation,merchant,system,0.6992,pending,2026-01-28 07:08:51,
INT00022,ORD000420,M102,premium_courier,delhivery,system,0.8595,pending,2025-10-31 21:56:49,
INT00023,ORD001885,M058,cod_to_prepaid,merchant,merchant,0.8220,rto,2025-11-24 09:02:20,2025-11-25 08:02:20
INT00024,ORD001984,M055,merchant_confirmation,merchant,merchant,0.8699,pending,2025-12-31 21:27:56,
INT00025,ORD003554,M082,masked_calling,delhivery,system,0.8286,successful_delivery,2026-02-05 16:10:38,2026-02-05 20:10:38
INT00026,ORD001035,M070,merchant_confirmation,merchant,merchant,0.5935,successful_delivery,2025-12-02 00:08:22,2025-12-04 02:08:22
INT00027,ORD001646,M023,address_enrichment_outreach,delhivery,system,0.7884,pending,2025-12-19 03:22:46,
INT00028,ORD000872,M098,premium_courier,delhivery,system,0.5568,rto,2026-02-17 22:55:21,2026-02-18 18:55:21
INT00029,ORD004452,M063,merchant_confirmation,merchant,merchant,0.6549,successful_delivery,2025-11-16 22:23:16,2025-11-17 21:23:16
INT00030,ORD002731,M099,premium_courier,delhivery,system,0.6081,successful_delivery,2026-01-10 16:52:07,2026-01-11 05:52:07
INT00031,ORD002082,M083,masked_calling,delhivery,system,0.5730,successful_delivery,2025-11-24 16:32:21,2025-11-25 02:32:21
INT00032,ORD003399,M022,premium_courier,delhivery,system,0.5968,rto,2025-11-23 20:30:17,2025-11-25 13:30:17
INT00033,ORD001635,M056,cod_to_prepaid_outreach,delhivery,system,0.6587,successful_delivery,2026-03-10 18:27:51,2026-03-10 22:27:51
INT00034,ORD000632,M011,verification,delhivery,system,0.4586,rto,2026-02-15 16:22:40,2026-02-17 07:22:40
INT00035,ORD003179,M012,express_upgrade,delhivery,system,0.4918,rto,2025-12-16 23:10:32,2025-12-17 05:10:32
INT00036,ORD001218,M037,auto_cancel,delhivery,system,0.9583,rto,2026-01-23 16:18:23,2026-01-24 12:18:23
INT00037,ORD002585,M054,verification,delhivery,system,0.6800,pending,2025-12-23 19:31:25,
INT00038,ORD003531,M079,verification,delhivery,system,0.7929,successful_delivery,2025-10-28 14:51:12,2025-10-31 03:51:12
INT00039,ORD002802,M063,cod_to_prepaid,merchant,merchant,0.9538,successful_delivery,2026-01-07 10:03:35,2026-01-08 05:03:35
INT00040,ORD003276,M031,cod_to_prepaid,merchant,merchant,0.6890,rto,2025-12-27 21:50:33,2025-12-30 08:50:33
INT00041,ORD003581,M012,verification,delhivery,system,0.7982,successful_delivery,2026-03-26 20:15:57,2026-03-29 01:15:57
INT00042,ORD000218,M060,premium_courier,delhivery,system,0.8027,rto,2025-10-31 16:03:13,2025-11-01 12:03:13
INT00043,ORD000137,M006,express_upgrade,delhivery,system,0.6773,rto,2025-12-10 02:34:17,2025-12-12 08:34:17
INT00044,ORD001368,M029,premium_courier,delhivery,system,0.8261,successful_delivery,2025-10-18 09:19:56,2025-10-18 17:19:56
INT00045,ORD000503,M108,cod_to_prepaid,merchant,system,0.6029,successful_delivery,2026-02-25 16:40:27,2026-02-25 22:40:27
INT00046,ORD003580,M037,cod_to_prepaid,merchant,merchant,0.7424,successful_delivery,2025-10-20 17:22:30,2025-10-23 04:22:30
INT00047,ORD002531,M007,verification,delhivery,system,0.5745,successful_delivery,2025-11-05 16:46:48,2025-11-05 18:46:48
INT00048,ORD001526,M041,verification,delhivery,system,0.7862,successful_delivery,2026-01-21 17:49:55,2026-01-24 00:49:55
INT00049,ORD000847,M034,merchant_confirmation,merchant,merchant,0.6487,pending,2026-01-23 22:16:37,
INT00050,ORD001705,M063,cod_to_prepaid_outreach,delhivery,system,0.8830,pending,2025-10-22 09:49:35,
INT00051,ORD002568,M118,merchant_confirmation,merchant,system,0.8265,pending,2026-02-17 14:21:35,
INT00052,ORD003114,M036,masked_calling,delhivery,system,0.4936,pending,2026-03-17 23:18:37,
INT00053,ORD004465,M004,cod_to_prepaid,merchant,system,0.7631,successful_delivery,2025-10-25 23:12:16,2025-10-26 00:12:16
INT00054,ORD002614,M060,cod_to_prepaid_outreach,delhivery,system,0.7049,successful_delivery,2025-10-15 11:12:03,2025-10-17 07:12:03
INT00055,ORD001173,M027,verification,delhivery,system,0.5735,rto,2026-01-14 13:12:12,2026-01-14 14:12:12
INT00056,ORD003583,M003,verification,delhivery,system,0.6935,rto,2025-11-26 18:50:57,2025-11-26 20:50:57
INT00057,ORD002468,M013,premium_courier,delhivery,system,0.5988,rto,2025-12-26 23:58:48,2025-12-27 12:58:48
INT00058,ORD003462,M106,cod_to_prepaid,merchant,system,0.7782,successful_delivery,2025-12-29 13:12:03,2025-12-31 06:12:03
INT00059,ORD000593,M073,masked_calling,delhivery,system,0.9393,successful_delivery,2026-01-11 19:15:25,2026-01-14 14:15:25
INT00060,ORD000761,M046,cod_to_prepaid,merchant,merchant,0.5916,successful_delivery,2025-12-05 19:29:56,2025-12-06 05:29:56
INT00061,ORD004487,M035,premium_courier,delhivery,system,0.5349,rto,2025-12-13 22:15:35,2025-12-15 17:15:35
INT00062,ORD002722,M065,verification,delhivery,system,0.7255,successful_delivery,2025-11-06 18:57:38,2025-11-07 04:57:38
INT00063,ORD002349,M013,merchant_confirmation,merchant,system,0.4070,pending,2025-10-12 20:32:13,
INT00064,ORD002010,M045,cod_to_prepaid_outreach,delhivery,system,0.8280,pending,2026-03-09 10:51:22,
INT00065,ORD003326,M003,verification,delhivery,system,0.6756,successful_delivery,2026-01-30 11:52:04,2026-02-01 18:52:04
INT00066,ORD002566,M001,verification,delhivery,system,1.0000,pending,2025-10-01 06:43:10,
INT00067,ORD000225,M040,cod_to_prepaid,merchant,merchant,0.8506,pending,2026-02-09 20:51:41,
INT00068,ORD003880,M003,premium_courier,delhivery,system,0.5883,successful_delivery,2026-01-02 09:14:15,2026-01-03 16:14:15
INT00069,ORD000901,M020,verification,delhivery,system,0.5752,rto,2026-03-09 14:55:06,2026-03-09 18:55:06
INT00070,ORD000232,M066,address_enrichment_outreach,delhivery,system,0.4738,pending,2026-01-13 07:40:19,
INT00071,ORD001342,M014,premium_courier,delhivery,system,0.6892,successful_delivery,2025-12-26 19:48:10,2025-12-29 11:48:10
INT00072,ORD000165,M016,merchant_confirmation,merchant,system,0.6709,pending,2026-03-22 09:45:42,
INT00073,ORD004845,M107,cod_to_prepaid_outreach,delhivery,system,0.8398,successful_delivery,2025-12-04 19:07:37,2025-12-06 16:07:37
INT00074,ORD003940,M081,verification,delhivery,system,0.7206,successful_delivery,2025-10-15 21:58:29,2025-10-18 09:58:29
INT00075,ORD003660,M057,premium_courier,delhivery,system,0.6807,successful_delivery,2026-01-22 00:54:20,2026-01-23 10:54:20
INT00076,ORD001360,M019,verification,delhivery,system,0.6496,successful_delivery,2026-01-30 13:41:45,2026-02-01 21:41:45
INT00077,ORD001320,M013,merchant_confirmation,merchant,system,0.9229,pending,2025-10-07 09:04:44,
INT00078,ORD000375,M061,merchant_confirmation,merchant,system,0.7707,pending,2026-01-07 09:54:41,
INT00079,ORD003721,M112,premium_courier,delhivery,system,0.8378,successful_delivery,2025-11-11 23:34:16,2025-11-14 19:34:16
INT00080,ORD002173,M007,masked_calling,delhivery,system,0.5348,pending,2025-11-24 23:40:32,
INT00081,ORD003057,M007,cod_to_prepaid,merchant,system,0.7022,rto,2026-01-10 22:08:19,2026-01-11 20:08:19
INT00082,ORD001605,M065,premium_courier,delhivery,system,0.7749,successful_delivery,2025-10-23 11:36:52,2025-10-25 09:36:52
INT00083,ORD004024,M038,verification,delhivery,system,0.5055,successful_delivery,2026-01-01 01:38:39,2026-01-02 17:38:39
INT00084,ORD003005,M085,address_enrichment_outreach,delhivery,system,0.6724,successful_delivery,2025-10-16 21:37:34,2025-10-18 22:37:34
INT00085,ORD003703,M112,merchant_confirmation,merchant,system,0.8691,pending,2025-10-18 21:06:18,
INT00086,ORD003306,M039,merchant_confirmation,merchant,merchant,0.7308,pending,2026-01-27 17:04:36,
INT00087,ORD003193,M082,verification,delhivery,system,0.8849,successful_delivery,2026-01-15 10:20:39,2026-01-16 19:20:39
INT00088,ORD002791,M086,merchant_confirmation,merchant,system,0.9025,successful_delivery,2026-03-30 10:58:25,2026-04-01 01:58:25
INT00089,ORD004805,M064,merchant_confirmation,merchant,system,0.7962,successful_delivery,2025-12-16 09:33:04,2025-12-17 09:33:04
INT00090,ORD002439,M008,verification,delhivery,system,0.5229,rto,2025-11-27 22:50:33,2025-11-28 00:50:33
INT00091,ORD002781,M106,merchant_confirmation,merchant,system,0.7101,pending,2026-02-08 19:29:19,
INT00092,ORD000699,M036,merchant_confirmation,merchant,system,0.8049,successful_delivery,2026-02-18 22:28:27,2026-02-19 15:28:27
INT00093,ORD002520,M059,merchant_confirmation,merchant,merchant,0.7769,successful_delivery,2025-11-28 11:56:50,2025-12-01 08:56:50
INT00094,ORD002688,M118,masked_calling,delhivery,system,0.5415,successful_delivery,2026-02-16 00:02:51,2026-02-17 18:02:51
INT00095,ORD001796,M106,verification,delhivery,system,0.9448,pending,2025-12-28 18:50:42,
INT00096,ORD002582,M115,verification,delhivery,system,0.8853,successful_delivery,2026-03-25 17:43:31,2026-03-26 08:43:31
INT00097,ORD002972,M064,verification,delhivery,system,0.8869,successful_delivery,2025-11-12 13:46:43,2025-11-14 07:46:43
INT00098,ORD003886,M120,premium_courier,delhivery,system,0.8622,successful_delivery,2025-12-22 12:17:45,2025-12-24 01:17:45
INT00099,ORD003542,M027,cod_to_prepaid,merchant,merchant,0.7208,pending,2025-11-11 07:09:32,
INT00100,ORD001563,M047,cod_to_prepaid,merchant,system,0.7471,successful_delivery,2025-11-17 18:18:17,2025-11-19 17:18:17
INT00101,ORD002326,M119,address_enrichment_outreach,delhivery,system,0.4980,rto,2025-11-18 20:56:01,2025-11-21 04:56:01
INT00102,ORD000301,M049,premium_courier,delhivery,system,0.7784,rto,2026-01-22 16:02:28,2026-01-22 17:02:28
INT00103,ORD001365,M104,cod_to_prepaid,merchant,merchant,0.4508,pending,2026-01-27 12:16:48,
INT00104,ORD000341,M107,merchant_confirmation,merchant,merchant,0.8296,rto,2025-12-14 18:43:56,2025-12-15 10:43:56
INT00105,ORD003919,M075,cod_to_prepaid,merchant,system,0.6608,successful_delivery,2026-01-02 16:29:45,2026-01-03 10:29:45
INT00106,ORD004215,M027,address_enrichment_outreach,delhivery,system,0.8718,rto,2025-11-22 10:11:57,2025-11-23 09:11:57
INT00107,ORD002024,M043,express_upgrade,delhivery,system,0.7153,rto,2025-12-24 01:31:25,2025-12-24 15:31:25
INT00108,ORD004253,M007,premium_courier,delhivery,system,1.0000,successful_delivery,2026-01-05 07:43:52,2026-01-07 07:43:52
INT00109,ORD001556,M071,verification,delhivery,system,0.8392,successful_delivery,2025-11-03 04:45:09,2025-11-03 09:45:09
INT00110,ORD004404,M063,cod_to_prepaid,merchant,system,0.7176,rto,2025-12-18 15:41:49,2025-12-19 13:41:49
INT00111,ORD003789,M059,verification,delhivery,system,0.7315,successful_delivery,2026-02-24 20:52:18,2026-02-26 09:52:18
INT00112,ORD001771,M087,cod_to_prepaid,merchant,merchant,0.7366,successful_delivery,2026-01-07 14:27:38,2026-01-08 09:27:38
INT00113,ORD004005,M095,merchant_confirmation,merchant,merchant,0.7700,successful_delivery,2025-12-19 20:43:54,2025-12-20 22:43:54
INT00114,ORD002838,M012,merchant_confirmation,merchant,merchant,0.6947,rto,2026-03-21 17:57:12,2026-03-23 21:57:12
INT00115,ORD003205,M075,address_enrichment_outreach,delhivery,system,0.8440,pending,2026-02-26 15:38:18,
INT00116,ORD000537,M083,cod_to_prepaid,merchant,system,0.7937,successful_delivery,2026-02-17 09:05:24,2026-02-20 09:05:24
INT00117,ORD001938,M061,merchant_confirmation,merchant,system,0.5068,successful_delivery,2026-03-10 20:16:38,2026-03-12 16:16:38
INT00118,ORD002060,M058,cod_to_prepaid,merchant,system,0.9807,successful_delivery,2025-12-24 13:53:28,2025-12-27 01:53:28
INT00119,ORD003015,M047,merchant_confirmation,merchant,merchant,0.4888,pending,2026-01-29 12:59:53,
INT00120,ORD003152,M009,verification,delhivery,system,0.6328,successful_delivery,2025-11-22 03:32:28,2025-11-24 12:32:28
INT00121,ORD001006,M024,masked_calling,delhivery,system,0.4970,successful_delivery,2025-11-05 16:49:08,2025-11-08 15:49:08
INT00122,ORD001976,M055,premium_courier,delhivery,system,0.9467,successful_delivery,2025-12-04 19:15:15,2025-12-06 00:15:15
INT00123,ORD000528,M091,merchant_confirmation,merchant,merchant,0.9261,successful_delivery,2026-02-26 10:25:58,2026-02-28 08:25:58
INT00124,ORD002372,M063,verification,delhivery,system,0.8119,rto,2026-02-26 11:50:18,2026-02-26 15:50:18
INT00125,ORD001824,M013,express_upgrade,delhivery,system,0.6911,successful_delivery,2026-01-17 12:06:27,2026-01-20 07:06:27
INT00126,ORD001219,M021,premium_courier,delhivery,system,0.6234,pending,2026-03-13 18:38:31,
INT00127,ORD001062,M070,verification,delhivery,system,0.7047,successful_delivery,2025-12-19 20:30:41,2025-12-22 05:30:41
INT00128,ORD001372,M097,cod_to_prepaid,merchant,merchant,0.5920,successful_delivery,2025-10-29 20:39:09,2025-10-31 22:39:09
INT00129,ORD003868,M045,premium_courier,delhivery,system,0.8218,successful_delivery,2026-03-16 22:17:20,2026-03-17 04:17:20
INT00130,ORD002693,M012,merchant_confirmation,merchant,merchant,0.6673,rto,2026-02-07 10:26:02,2026-02-08 05:26:02
INT00131,ORD000974,M029,express_upgrade,delhivery,system,0.7811,successful_delivery,2026-02-01 21:49:26,2026-02-03 18:49:26
INT00132,ORD003367,M008,verification,delhivery,system,0.6043,rto,2026-03-22 14:45:31,2026-03-22 18:45:31
INT00133,ORD004133,M023,cod_to_prepaid,merchant,merchant,0.7141,successful_delivery,2025-11-30 01:35:40,2025-12-03 00:35:40
INT00134,ORD001596,M070,cod_to_prepaid,merchant,merchant,0.3637,rto,2026-01-02 02:13:16,2026-01-03 03:13:16
INT00135,ORD003234,M004,verification,delhivery,system,0.4691,successful_delivery,2026-01-13 14:53:52,2026-01-15 19:53:52
INT00136,ORD000541,M065,verification,delhivery,system,0.5745,successful_delivery,2026-02-06 20:17:28,2026-02-09 09:17:28
INT00137,ORD004933,M031,merchant_confirmation,merchant,merchant,0.8769,successful_delivery,2025-12-01 22:15:52,2025-12-03 16:15:52
INT00138,ORD003622,M005,masked_calling,delhivery,system,0.6285,successful_delivery,2025-12-29 00:00:53,2026-01-01 00:00:53
INT00139,ORD003224,M040,verification,delhivery,system,0.6762,successful_delivery,2026-01-06 21:51:04,2026-01-09 00:51:04
INT00140,ORD004898,M083,merchant_confirmation,merchant,merchant,0.8108,successful_delivery,2025-10-09 01:06:23,2025-10-11 04:06:23
INT00141,ORD003593,M058,premium_courier,delhivery,system,0.7907,rto,2025-12-26 13:16:58,2025-12-28 02:16:58
INT00142,ORD000147,M053,cod_to_prepaid,merchant,system,0.7436,successful_delivery,2025-12-26 08:06:39,2025-12-26 23:06:39
INT00143,ORD004130,M082,express_upgrade,delhivery,system,0.7098,rto,2025-12-16 00:32:56,2025-12-16 03:32:56
INT00144,ORD000527,M050,express_upgrade,delhivery,system,0.7620,pending,2025-11-11 21:34:56,
INT00145,ORD000519,M029,cod_to_prepaid,merchant,system,0.9690,successful_delivery,2026-03-17 06:00:18,2026-03-18 07:00:18
INT00146,ORD001246,M113,verification,delhivery,system,0.6572,successful_delivery,2026-03-13 19:29:02,2026-03-15 13:29:02
INT00147,ORD003604,M082,merchant_confirmation,merchant,system,0.4380,successful_delivery,2025-10-04 13:14:26,2025-10-04 22:14:26
INT00148,ORD003441,M091,express_upgrade,delhivery,system,0.7896,successful_delivery,2026-03-24 22:27:06,2026-03-27 10:27:06
INT00149,ORD000078,M031,address_enrichment_outreach,delhivery,system,0.8144,successful_delivery,2025-12-07 14:57:27,2025-12-07 22:57:27
INT00150,ORD003540,M032,masked_calling,delhivery,system,0.9621,pending,2025-12-11 11:46:18,
INT00151,ORD002797,M003,cod_to_prepaid,merchant,merchant,0.9873,successful_delivery,2026-03-26 07:50:49,2026-03-27 12:50:49
INT00152,ORD003590,M058,address_enrichment_outreach,delhivery,system,0.8036,successful_delivery,2025-10-26 06:35:08,2025-10-26 13:35:08
INT00153,ORD002508,M043,verification,delhivery,system,0.6301,successful_delivery,2025-11-19 16:38:51,2025-11-21 21:38:51
INT00154,ORD001434,M112,masked_calling,delhivery,system,0.6053,successful_delivery,2025-12-14 22:57:39,2025-12-15 03:57:39
INT00155,ORD002595,M044,cod_to_prepaid,merchant,system,0.8138,rto,2026-03-14 22:11:01,2026-03-15 19:11:01
INT00156,ORD002015,M025,address_enrichment_outreach,delhivery,system,0.6057,successful_delivery,2025-11-29 01:10:31,2025-11-30 06:10:31
INT00157,ORD003316,M017,merchant_confirmation,merchant,merchant,0.8360,successful_delivery,2025-10-17 19:10:08,2025-10-20 05:10:08
INT00158,ORD000481,M040,cod_to_prepaid_outreach,delhivery,system,0.4430,successful_delivery,2025-11-16 21:16:19,2025-11-19 00:16:19
INT00159,ORD001240,M077,premium_courier,delhivery,system,0.4477,pending,2025-10-16 12:52:48,
INT00160,ORD004784,M102,merchant_confirmation,merchant,system,1.0000,successful_delivery,2025-11-24 14:52:27,2025-11-27 01:52:27
INT00161,ORD001964,M117,masked_calling,delhivery,system,0.4781,successful_delivery,2026-03-17 21:52:08,2026-03-18 15:52:08
INT00162,ORD004139,M052,cod_to_prepaid,merchant,system,0.4629,successful_delivery,2025-11-11 12:05:40,2025-11-13 01:05:40
INT00163,ORD003623,M058,address_enrichment_outreach,delhivery,system,0.8962,successful_delivery,2025-12-28 11:43:17,2025-12-31 03:43:17
INT00164,ORD004693,M098,merchant_confirmation,merchant,merchant,0.6070,successful_delivery,2026-01-23 14:16:30,2026-01-24 22:16:30
INT00165,ORD002668,M013,masked_calling,delhivery,system,0.6537,rto,2025-10-19 07:49:55,2025-10-20 05:49:55
INT00166,ORD004123,M051,verification,delhivery,system,0.7965,rto,2025-10-17 02:02:49,2025-10-19 10:02:49
INT00167,ORD000845,M072,merchant_confirmation,merchant,merchant,0.5641,successful_delivery,2026-03-26 11:32:29,2026-03-27 06:32:29
INT00168,ORD001542,M002,verification,delhivery,system,0.8858,pending,2025-11-02 12:10:29,
INT00169,ORD000894,M022,merchant_confirmation,merchant,merchant,0.6415,pending,2025-12-04 17:45:59,
INT00170,ORD004467,M057,express_upgrade,delhivery,system,0.5490,successful_delivery,2026-02-24 19:55:47,2026-02-27 14:55:47
INT00171,ORD004060,M119,verification,delhivery,system,0.7574,successful_delivery,2026-01-15 04:38:51,2026-01-17 22:38:51
INT00172,ORD001286,M050,verification,delhivery,system,0.7618,rto,2026-02-04 10:59:21,2026-02-06 06:59:21
INT00173,ORD001673,M110,verification,delhivery,system,0.7048,pending,2026-03-15 23:34:59,
INT00174,ORD002799,M008,merchant_confirmation,merchant,merchant,0.6350,rto,2025-10-18 03:47:18,2025-10-20 15:47:18
INT00175,ORD001733,M065,cod_to_prepaid,merchant,merchant,0.6845,successful_delivery,2026-02-20 01:11:17,2026-02-22 03:11:17
INT00176,ORD002858,M013,cod_to_prepaid_outreach,delhivery,system,0.8802,pending,2025-12-25 23:51:34,
INT00177,ORD000552,M117,premium_courier,delhivery,system,0.6618,rto,2026-02-10 21:32:14,2026-02-11 19:32:14
INT00178,ORD003954,M005,cod_to_prepaid,merchant,merchant,0.5318,successful_delivery,2025-10-08 23:55:32,2025-10-10 07:55:32
INT00179,ORD001919,M003,verification,delhivery,system,0.9737,successful_delivery,2026-02-20 00:20:02,2026-02-22 00:20:02
INT00180,ORD001432,M082,verification,delhivery,system,0.8342,pending,2026-01-08 19:53:11,
INT00181,ORD000907,M072,premium_courier,delhivery,system,0.7485,successful_delivery,2026-01-20 13:38:58,2026-01-21 20:38:58
INT00182,ORD001834,M043,masked_calling,delhivery,system,0.6148,pending,2025-12-10 19:15:46,
INT00183,ORD001013,M116,verification,delhivery,system,0.6884,successful_delivery,2025-12-23 10:27:40,2025-12-24 09:27:40
INT00184,ORD000902,M103,premium_courier,delhivery,system,0.9258,pending,2025-10-04 11:49:15,
INT00185,ORD000433,M105,premium_courier,delhivery,system,0.8775,successful_delivery,2026-01-24 13:56:51,2026-01-26 20:56:51
INT00186,ORD000190,M030,merchant_confirmation,merchant,system,1.0000,rto,2026-01-18 15:26:24,2026-01-19 19:26:24
INT00187,ORD003931,M073,premium_courier,delhivery,system,0.4886,successful_delivery,2026-02-20 09:45:55,2026-02-20 17:45:55
INT00188,ORD001382,M059,masked_calling,delhivery,system,0.7222,successful_delivery,2026-01-09 16:52:31,2026-01-11 11:52:31
INT00189,ORD003207,M078,express_upgrade,delhivery,system,0.8616,successful_delivery,2025-10-22 21:32:13,2025-10-23 12:32:13
INT00190,ORD002440,M023,premium_courier,delhivery,system,0.9227,successful_delivery,2025-12-30 20:01:15,2025-12-31 23:01:15
INT00191,ORD001040,M002,cod_to_prepaid,merchant,system,0.7665,rto,2026-03-25 08:23:18,2026-03-28 07:23:18
INT00192,ORD003677,M083,masked_calling,delhivery,system,0.8234,successful_delivery,2026-03-28 04:59:47,2026-03-30 19:59:47
INT00193,ORD002572,M019,address_enrichment_outreach,delhivery,system,0.6098,rto,2025-11-07 20:17:10,2025-11-08 16:17:10
INT00194,ORD004063,M056,verification,delhivery,system,0.7956,pending,2025-12-18 15:26:05,
INT00195,ORD000808,M019,masked_calling,delhivery,system,1.0000,rto,2026-01-05 10:18:45,2026-01-06 07:18:45
INT00196,ORD003752,M083,verification,delhivery,system,0.8076,rto,2025-12-20 22:19:12,2025-12-21 21:19:12
INT00197,ORD001387,M044,cod_to_prepaid,merchant,merchant,0.6407,successful_delivery,2025-10-03 06:31:29,2025-10-05 18:31:29
INT00198,ORD002493,M026,merchant_confirmation,merchant,system,0.7251,successful_delivery,2026-02-18 14:13:00,2026-02-20 18:13:00
INT00199,ORD001481,M011,merchant_confirmation,merchant,system,0.5565,successful_delivery,2026-02-11 18:50:23,2026-02-12 12:50:23
INT00200,ORD001613,M078,cod_to_prepaid,merchant,system,0.8178,successful_delivery,2025-10-13 17:02:11,2025-10-16 15:02:11
INT00201,ORD000105,M061,merchant_confirmation,merchant,system,1.0000,rto,2025-12-25 18:19:34,2025-12-27 20:19:34
INT00202,ORD003199,M080,cod_to_prepaid,merchant,system,0.8794,successful_delivery,2026-01-02 12:05:28,2026-01-04 22:05:28
INT00203,ORD000333,M054,address_enrichment_outreach,delhivery,system,0.6670,rto,2025-12-23 10:57:30,2025-12-25 20:57:30
INT00204,ORD003795,M027,masked_calling,delhivery,system,0.7010,successful_delivery,2026-03-17 19:16:45,2026-03-20 00:16:45
INT00205,ORD002586,M057,address_enrichment_outreach,delhivery,system,0.7664,successful_delivery,2025-12-27 19:43:57,2025-12-28 17:43:57
INT00206,ORD004008,M108,premium_courier,delhivery,system,0.8839,pending,2026-01-14 04:51:33,
INT00207,ORD000716,M055,verification,delhivery,system,0.5900,rto,2025-11-30 18:45:45,2025-12-03 10:45:45
INT00208,ORD004126,M016,cod_to_prepaid_outreach,delhivery,system,0.5179,rto,2025-10-12 19:17:03,2025-10-15 09:17:03
INT00209,ORD004364,M104,express_upgrade,delhivery,system,0.6700,rto,2025-11-21 14:46:03,2025-11-23 21:46:03
INT00210,ORD004631,M118,verification,delhivery,system,0.8495,rto,2025-10-25 10:32:40,2025-10-25 16:32:40
INT00211,ORD004846,M032,verification,delhivery,system,0.8203,rto,2026-03-07 23:05:09,2026-03-08 09:05:09
INT00212,ORD003275,M115,merchant_confirmation,merchant,system,0.8024,successful_delivery,2025-10-04 13:46:09,2025-10-06 19:46:09
INT00213,ORD002224,M054,merchant_confirmation,merchant,system,0.7607,pending,2026-02-15 20:04:00,
INT00214,ORD003237,M045,merchant_confirmation,merchant,merchant,0.5573,pending,2026-03-12 20:37:13,
INT00215,ORD002765,M069,verification,delhivery,system,0.7494,successful_delivery,2026-01-10 15:10:45,2026-01-12 06:10:45
INT00216,ORD003384,M090,verification,delhivery,system,0.8668,successful_delivery,2026-01-25 22:56:40,2026-01-26 06:56:40
INT00217,ORD003939,M026,verification,delhivery,system,0.4567,successful_delivery,2025-12-12 22:08:50,2025-12-15 13:08:50
INT00218,ORD001587,M089,express_upgrade,delhivery,system,0.9505,rto,2025-11-23 07:57:03,2025-11-24 21:57:03
INT00219,ORD004653,M012,merchant_confirmation,merchant,merchant,0.6092,successful_delivery,2025-11-25 21:19:08,2025-11-28 01:19:08
INT00220,ORD003358,M120,verification,delhivery,system,0.6147,rto,2025-10-26 09:47:33,2025-10-27 16:47:33
INT00221,ORD003418,M112,verification,delhivery,system,0.6284,pending,2025-12-07 01:17:37,
INT00222,ORD003330,M084,verification,delhivery,system,0.6663,successful_delivery,2025-10-21 15:16:10,2025-10-24 04:16:10
INT00223,ORD001166,M043,premium_courier,delhivery,system,0.6439,successful_delivery,2025-11-18 20:49:27,2025-11-21 19:49:27
